Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,
13,10.5409877,Si1,1.47653842,Si1,2.421191725,1.6471982,0,335.7844445,271.7492477,0.002289373,0.055222473,885.3009739,208.2,82.3,
14,10.12486991,Si1,2.389110332,Si1,1.496922138,2.351863531,0,298.2144884,257.3380683,0.002195746,0.055318808,765.904808,209.5,84.5,
15,11.05605998,Si1,1.755874274,Si1,2.912454606,2.387237757,0,329.7043451,261.6280806,0.000267252,0.055276905,863.4735816,227.8,85.5,
16,13.15044621,Si1,1.16594142,Si1,1.226932391,2.253377731,1,400.5222103,798.3703781,0.043786728,0.038672949,1129.194861,188.000001,86.4,
17,10.24682028,Si1,0.921435014,Si1,2.80632519,0.668970615,1,349.0689651,831.7834309,0.000247021,0.033347768,945.2323661,161.000001,80.1,
18,12.00408497,Si1,0.619828684,Si1,1.90947607,0.591471772,1,398.6728436,588.3063808,0.000290952,0.044515675,1171.001807,126.000001,86.2,
19,8.186490662,Si1,1.91811608,Si1,2.249524305,2.109970561,0,290.2857717,264.2801914,0.001368586,0.055317227,712.4012227,183.3,74,
20,12.22832837,Si1,0.501428682,Si1,2.399133012,1.310690718,1,406.3885816,618.7459303,0.001482791,0.043594055,1152.38133,127.000001,84.2,
21,11.53079879,Si1,0.698546095,Si1,2.939396175,2.040166702,1,383.6702897,638.2451252,0.032098797,0.036006477,1063.938064,167.000001,83.3,
22,13.0535609,Si1,1.034229167,Si1,2.56977531,2.151037919,0,389.8942223,277.4001598,-0.000317189,0.055345445,1115.983557,223.3,92.2,
23,15.23958487,Si1,1.592728603,Si1,2.13134733,2.01074464,0,392.4079801,267.2466066,0.00037184,0.055266123,1190.547336,253.9,104.3,
24,15.52269754,Si1,0.639305463,Si1,2.751998239,0.800713539,1,425.6539238,520.3013039,-0.000378918,0.042059843,1349.272553,198.000001,97.5,
25,15.72510127,Si1,2.125455429,Si1,2.862582939,1.074423359,0,368.2279546,245.8362916,0.000383978,0.05539638,1098.768881,260.4,107.4,
26,9.3906414,Si1,1.688101297,Si1,2.607965856,0.615911572,0,301.8196819,271.1522907,0.002030544,0.055275152,791.7846392,193.2,77.2,
27,12.27285946,Si1,2.078057068,Si1,2.814394704,1.396802566,0,326.5953973,253.5232588,0.001488357,0.055433447,886.4979637,236.8,91.3,
28,8.33796206,Si1,0.643407986,Si1,2.483834204,1.122476514,1,355.459812,947.7506747,0.000199299,0.041254893,897.8462108,109.000001,72.4,
29,11.44641156,Si1,1.432112239,Si1,1.935058473,1.231966637,0,350.9504974,274.3876237,0.001385052,0.05517402,964.5400799,207.8,86.3,
30,15.10141638,Si1,0.521750771,Si1,2.21088038,0.943518921,1,437.7442284,847.884353,0.002578699,0.043837875,1404.801538,155.000001,95.3,
31,9.080830208,Si1,1.990215089,PU,2.322999861,2.327953945,0,303.1515201,265.0104704,0.000217871,0.055419585,762.4401279,193.5,79,
32,11.5994219,Si1,0.532842525,PU,1.438647501,2.239986514,1,411.5364314,530.8239888,-0.003650862,0.04858455,1152.54659,110.000001,86.2,
33,9.987513583,Si1,1.35758654,PU,1.739590153,1.8733312,0,345.8330237,320.8776544,0.00216484,0.055411841,912.1954084,176.5,81.1,
34,11.26112356,Si1,0.500171972,PU,2.037294948,2.462450732,1,407.625864,793.1965374,0.000817134,0.04221859,1123.234734,115.000001,83.8,
35,10.34386155,Si1,2.436721223,PU,2.983961895,0.87986646,0,288.0502193,251.2885876,0.002245019,0.055438562,742.208872,218.8,84.4,
36,12.73686507,Si1,0.51522735,PU,2.086959448,1.546783166,1,425.8682655,505.3798842,-0.000309272,0.047937102,1208.287565,124,87.5,
37,14.19757507,Si1,0.784718346,PU,2.629447057,2.368650868,1,425.4487736,834.7074491,0.001728948,0.037691056,1293.451234,170.000001,92.3,
38,12.47270295,Si1,1.83224038,PU,2.342103965,1.453123973,0,349.6349529,263.4500318,0.001513338,0.055292749,975.3129773,222.4,91,
39,9.471366336,Si1,0.560851252,PU,1.569097242,0.522783824,1,370.9607249,578.890237,0.000227634,0.047575558,1011.693879,98.000001,75.6,
40,15.91493419,Si1,0.666482501,PU,1.834361701,2.076364175,1,452.6783854,801.2857252,-0.000388723,0.043925727,1435.883939,173.000001,99.6,
41,9.79563474,Si1,1.236096836,PU,2.995137414,1.599804221,0,341.8140585,282.0191344,0.001650185,0.055331668,893.8991446,190.5,78.8,
42,8.458299304,Si1,0.587280037,PU,1.156297886,2.47490185,1,407.0448488,540.0458014,0.000202308,0.006271533,949.1164383,78.000001,63.9,
43,8.769077072,Si1,0.973645182,PU,1.122690056,1.155854016,1,351.1037684,843.7232211,-0.011974389,0.042225477,886.9552921,105.000001,68.3,
44,14.11097311,Si1,2.255763284,PU,1.68575654,1.91992554,0,357.9605233,258.4167191,-0.000343624,0.05523994,1036.638144,245.1,98.8,
45,14.77787692,Si1,1.13602359,PU,2.964930191,1.476564894,0,406.3031061,277.2696752,-0.000360297,0.055132572,1242.490328,233.3,98.6,
46,10.4507631,Si1,2.037060751,PU,2.785120777,1.847508326,0,314.3302928,260.4008849,0.001260595,0.055230971,808.8010089,216.8,83,
47,13.43030129,Si1,0.839720755,PU,2.969632058,2.481108127,1,410.406597,560.3518301,-0.032987358,0.031680928,1205.811017,210.000001,91.5,
48,8.056883314,Si1,0.508237078,PU,1.845112362,1.827143649,1,362.8049189,551.8531792,0.001345904,0.044414832,927.4734069,94.000001,70.9,
49,15.85822607,Si1,0.602909739,PU,2.433992627,1.030525901,1,448.1576114,557.7474919,0.005809586,0.045314773,1495.851653,176.000001,99,
50,13.56362331,Si1,1.086477729,PU,2.095301205,1.956604525,0,405.3222588,283.296562,-0.000329941,0.055135062,1221.422603,219.2,91.8,
51,13.81225562,Si1,1.278013041,PU,1.30677945,2.439894897,1,404.8669592,582.7382892,0.037313372,0.035968746,1167.300532,200.000001,88,
52,10.90292935,Si1,0.536393095,PU,2.94662593,1.740716285,1,393.9597747,571.4287344,0.000263423,0.040303757,1080.733403,128.000001,82.2,
53,12.84982617,Si1,1.056834817,PU,2.885198342,2.133366649,0,391.0113908,279.6127966,-0.000312096,0.055214417,1129.600885,216.5,89.1,
54,13.71115831,Si1,1.516819076,PU,1.760447543,0.736536948,0,378.8373835,274.1188644,-0.000333629,0.055107578,1154.274237,212,94.8,
55,11.09739754,Si1,0.750470563,PU,2.687772852,1.527912492,1,385.5942103,820.776171,0.029243065,0.037828185,1064.190059,149.000001,83.2,
56,8.99995617,Si1,0.911918424,PU,2.298208866,0.889472575,1,354.334329,881.4019611,0.003669433,0.038636971,912.5437773,125.000001,74.6,
57,15.43470197,Si1,1.665994537,PU,2.70817874,1.280896749,0,388.9437753,264.7160807,-0.002637023,0.055250378,1193.163062,242.9,104.4,
58,12.59282279,Si1,1.349565683,PU,2.726753058,1.342611595,0,372.2804676,272.1085661,-0.000305671,0.055260352,1060.517142,216.5,89.9,
59,8.532951007,Si1,2.310786502,PU,1.541974489,2.301852257,0,284.0430047,254.8609789,0.000204174,0.055313456,688.5729696,184.1,82.3,
60,11.83528426,Si1,2.184009165,PU,2.17406533,2.413524809,0,330.6788225,257.3599222,0.002580589,0.055276282,883.6767459,229.6,88.9,
1,15.54531875,Si1,1.450385014,Si1,1.212317857,1.291704882,0,406.8435491,277.5987245,0.000379483,0.055072776,1245.255627,229.6,95.5,Itr_1
2,15.54644773,Si1,1.45309986,PU,1.2033606,1.395243037,0,414.6673237,273.9235583,0.000379511,0.05507481,1257.002334,226.3,94.5,
3,14.16200775,Si1,1.488784142,PU,1.157777162,1.420451851,0,395.1831768,282.453787,0.002414302,0.05534202,1149.297106,209.4,90,
4,8.086292454,Si1,1.308219549,Si1,1.467327805,0.670358546,1,318.7919878,989.5260725,-0.000579022,0.046128733,785.8114136,141.000001,73.1,
5,12.85289986,Si1,1.485869873,Si1,1.169436726,0.619592105,0,370.3500109,280.2434562,0.000312173,0.05522118,1040.857641,196.5,86.1,
6,8.473601043,Si1,1.248477686,Si1,1.587833669,0.605567693,1,321.7899592,533.8186259,0.00060807,0.04357835,815.407218,142.000001,74.3,
7,9.846369757,Si1,1.440450919,Si1,1.239013635,0.702533181,1,331.5178937,862.0830784,-0.005451213,0.043372693,873.9810357,151.000001,74.4,
8,13.16970418,Si1,1.472876761,Si1,1.191677773,0.804590912,0,376.7092546,279.435545,-0.000320093,0.055277964,1064.199695,201,87.2,
9,13.79975398,Si1,1.491463044,Si1,1.155320337,0.735884826,0,383.075107,281.4842217,-0.000335844,0.055289188,1109.313523,204.2,89.5,
10,8.752161841,Si1,1.467544847,Si1,1.210559771,0.912920274,0,313.6089676,284.3520239,0.000209654,0.055424328,791.1412561,161.3,70.1,
11,10.11422216,Si1,1.553123278,Si1,1.106329208,0.736713214,1,330.9980509,895.3526074,0.010479337,0.037774353,868.5492916,168.000001,75.9,
12,11.50600979,Si1,1.519278196,PU,1.12111284,1.167976136,1,358.6823673,950.8795501,-0.023672521,0.037597534,971.2930595,180.000001,80.2,
13,10.42939501,Si1,1.336014985,Si1,1.420025805,0.716988638,1,342.2103804,946.1754227,-0.000251585,0.040505185,938.9204532,169.000001,83.6,
14,10.15596041,Si1,1.336325429,Si1,1.409532862,0.510206899,1,338.4386137,573.1574563,-0.002202741,0.037446597,915.2220174,164.000001,82.5,
15,9.224567768,Si1,1.259515512,PU,1.552298304,2.491545207,1,345.6014227,587.7676331,-0.00730832,0.041856743,873.2528888,148.000001,76.3,
16,10.04618612,Si1,1.204656137,PU,1.681317953,2.36586938,1,357.2749129,574.559047,0.000242005,0.040414793,948.4531793,160.000001,81,
17,12.02893371,Si1,1.360571341,PU,1.410126794,1.979542703,0,376.014388,279.7620881,-0.000291573,0.055157895,1067.275312,208.3,88.7,
18,15.98485026,Si1,1.228117004,Si1,1.695651661,1.343838083,0,418.8180081,277.1807523,-0.000390471,0.055082988,1345.97628,254,105.5,
19,15.99677728,Si1,0.505277475,PU,1.215799871,0.579764381,1,462.0132381,816.0161307,0.003516926,0.046501571,1489.949133,124.000001,90.6,
20,15.78449336,Si1,1.818161506,PU,1.722904732,1.382335307,0,392.4145507,265.0650809,0.000385462,0.05511782,1246.486432,249.9,105.3,
1,8.611426682,Si1,1.586287918,Si1,1.142178957,1.980463809,0,310.4169969,277.4941367,0.000618407,0.055372191,760.0142628,161.7,70.6,Itr_2
2,12.65421167,Si1,0.922213549,PU,2.885255584,0.594349469,0,388.4219569,283.8234718,0.001536027,0.055398477,1139.281548,197.4,87.6,
3,8.033139199,Si1,1.017509101,Si1,2.9245117,1.657762946,1,328.088562,858.6612478,0.000191679,0.043894377,820.0672923,141.000001,72,
4,13.53521044,Si1,0.975158004,PU,2.45834952,0.857210104,1,401.5007221,560.0153147,0.02666765,0.031935334,1210.748474,198.000001,91,
5,8.13332939,Si1,1.184250611,Si1,2.159547255,1.81290021,1,324.5920355,801.2453659,0.00058255,0.042526132,805.3335474,148.000001,72.8,
6,11.08082413,Si1,0.959330752,Si1,2.876249383,1.319063545,0,360.881098,283.8289777,0.000267871,0.055340662,999.6346551,198.8,83.6,
7,9.264649103,Si1,1.003301051,Si1,2.850979997,1.584454642,1,340.3354162,555.3193516,0.000222466,0.037596796,902.8306336,157.000001,75.7,
8,10.00289377,Si1,1.365863857,Si1,1.491217076,2.239527467,0,345.5326763,284.9538437,0.001686456,0.055215137,908.7941441,188,81.9,
9,15.36293294,Si1,1.05248265,Si1,1.892838562,2.216401087,0,423.5348944,282.5693936,0.000374923,0.055119397,1318.304183,252.4,101.4,
10,12.09476566,Si1,0.918064093,Si1,2.99090376,1.179573001,0,374.9488423,280.0261797,-0.001466096,0.0553126,1054.072753,206.4,87.8,
11,15.97660426,Si1,0.990469613,Si1,2.084873516,1.65341062,0,428.6143517,276.6443803,-0.000390265,0.05506855,1360.702661,249,103.5,
12,10.87335827,Si1,1.48521741,Si1,1.210199363,1.720858471,0,352.6206688,283.4211941,0.000262684,0.05533182,919.316375,189,78.8,
13,14.9658049,Si1,1.045432066,PU,1.970217485,1.403471948,0,421.1995387,284.5415244,-0.000364995,0.055124625,1362.926145,230.9,98.8,
14,11.89134441,Si1,1.310356643,Si1,1.474922557,1.831767883,0,372.1093429,280.3158885,-0.001440668,0.055410826,1051.174431,210,87.6,
15,15.91794723,Si1,0.957779805,PU,2.284616635,2.397299451,1,434.6506361,521.6264921,-0.000388799,0.037713479,1410.504023,229.000001,100.3,
16,13.93955585,Si1,0.975459004,PU,2.939035355,0.507816395,0,401.1613099,282.8285203,-0.000339339,0.055236459,1210.926424,206.5,94.3,
17,11.66372029,Si1,0.963934401,PU,2.892410322,0.75588978,1,372.3804656,934.6603,0.002541987,0.055429414,1068.585718,187.5,85,
18,9.953592006,Si1,1.048904121,PU,2.662986041,2.469850011,1,359.0317,902.7628,-0.001677828,0.055314321,949.8326378,168.6,79.5,
19,8.172744691,Si1,0.524030106,Si1,1.188614013,0.736069728,1,389.6045393,521.3323174,-0.000585506,0.00526955,931.7842166,75.000001,62.5,
20,9.746510275,Si1,1.595207506,Si1,2.932021793,1.275352613,0,313.4425515,271.3841689,-0.000703538,0.055422504,819.2718114,200.4,79.1,
1,10.42070701,Si1,1.519686532,PU,1.195453348,1.717895885,0,344.7377268,319.5508498,-0.001759574,0.055400453,901.1605721,173.8,75.8,Itr_3
2,8.055424218,Si1,1.467319737,PU,1.587444227,1.270641406,0,311.2749913,284.3429525,0.001345649,0.055431912,774.1623831,158.2,72.3,
3,13.59199525,Si1,1.242046715,PU,1.510642952,1.142046223,0,397.2790386,280.7758845,-0.00033065,0.05519395,1218.7076,212.4,94.2,
4,12.25625117,Si1,1.215651769,PU,1.735923467,1.522205573,0,382.0075618,282.283363,-0.001486281,0.055394834,1117.403907,205.7,87.6,
5,9.093542353,Si1,1.621408866,PU,1.117046103,1.832265727,0,317.2188686,280.2716228,-0.000654566,0.055241751,791.7376091,162.3,72.2,
6,9.36610741,Si1,1.509685664,PU,1.304738746,2.255586688,0,333.2818112,283.5979493,0.002025025,0.055425338,840.5224692,173.7,80.4,
7,8.444111575,Si1,1.636686375,PU,1.132331086,1.930296285,0,305.4915674,274.5400263,0.00222148,0.055417527,748.9973737,155.2,69,
8,12.51154189,Si1,1.15205949,PU,1.906864408,1.56130795,0,387.3467801,282.6830228,0.001518193,0.055381108,1142.45982,207.3,88.5,
9,14.59717798,Si1,1.171814397,PU,1.60241721,0.675906947,0,409.966209,282.1178236,-0.00035578,0.055145022,1311.508184,212.9,98.2,
10,10.34399027,Si1,1.561396275,PU,1.130514059,1.582396536,1,339.6169286,686.7543141,-0.007732942,0.035671314,886.7994994,170.000001,74.9,
11,8.964757388,Si1,1.595153751,PU,1.170572945,1.489517573,0,314.6722776,280.5377608,-0.000644907,0.055266032,788.6226728,161.6,71.7,
12,11.29556768,Si1,1.330656078,PU,1.534009044,1.618646453,0,364.8096724,282.268103,0.002459153,0.055347164,1011.674977,200,86.5,
13,15.6918248,Si1,1.175302516,PU,1.48124605,0.637135737,0,422.3069902,281.533415,-0.000383146,0.055336476,1391.581811,229.9,104.5,
14,10.60895805,Si1,1.286467086,PU,1.737465949,2.073143277,0,357.5419643,328.6705566,0.002304666,0.055405992,974.0081231,177.9,83.2,
15,15.97296741,Si1,0.838936285,PU,2.871621313,1.670524645,1,433.6453679,557.6574572,-0.001950871,0.037066554,1403.325343,227.000001,99.9,
16,13.99767871,Si1,0.918833763,PU,2.695386398,1.351074969,1,411.5138018,537.5343143,-0.003067128,0.037146328,1245.098003,185.000001,94.1,
17,11.69171969,Si1,1.10711204,PU,2.243685465,2.386163796,0,379.7768035,282.3695033,0.001415715,0.055214871,1073.224583,206.3,85.3,
18,9.881964238,Si1,1.099430224,PU,2.673421705,1.892218877,1,353.550196,879.9395417,0.001665293,0.028785779,938.9059654,178.000001,79.2,
19,8.077111528,Si1,0.512140297,PU,1.153069751,1.02264498,1,434.8377633,557.8196782,0.000192778,-0.000192778,937.7557237,73.000001,62.4,
20,11.00563985,Si1,2.418202498,Si1,2.649998517,1.094831728,0,293.0946,229.7,0.002393919,0.05541306,770.0945,229.7,86.6,
1,14.45130578,Si1,0.915320162,Si1,2.589303033,1.399563722,0,408.1386641,283.1381244,-0.000352133,0.055216355,1230.282104,226.5,96.6,Itr_4
2,14.60882285,Si1,0.918763492,Si1,2.573233908,1.480165841,0,410.2243113,282.7015683,0.000356071,0.055167429,1243.208089,231.6,97.2,
3,9.900176245,Si1,1.151306175,Si1,2.176379765,0.64676278,1,339.134064,580.1009093,0.000238355,0.035038112,910.1034426,172.000001,78.9,
4,10.09776407,Si1,1.161073593,Si1,2.057503871,0.971938552,1,343.854022,907.5644526,0.000243294,0.039170334,932.5873163,168.000001,80.9,
5,8.708921383,Si1,1.217888925,Si1,2.202329544,0.724420579,1,321.563582,941.1321635,0.008134347,0.041923173,836.9635358,155.000001,74.3,
6,8.648994566,Si1,1.206118421,Si1,2.450512006,1.118300977,1,323.0028969,956.5920886,0.000207075,0.041207875,834.7872083,165.000001,74.1,
7,9.648561387,Si1,1.138743125,Si1,2.387552949,0.545372157,1,334.4364054,954.2245363,-0.005337472,0.028543872,900.6300665,174.000001,77.9,
8,8.529271464,Si1,1.513040413,Si1,1.114374079,1.483803178,0,311.5200748,279.9546561,0.000612245,0.055301036,762.2272419,158.4,69.7,
9,13.38759806,Si1,0.910701055,Si1,2.653438927,1.579153058,0,397.1443206,281.1702632,-0.00032554,0.055420896,1155.942836,218.1,92.6,
10,10.11914979,Si1,1.128601713,Si1,2.219883545,0.937430176,1,344.2891161,528.6447161,0.002194459,0.032429224,931.4072318,173.000001,80.1,
11,13.58201215,Si1,0.891824261,Si1,2.729308988,0.948355402,0,397.6521512,282.5292595,-0.0003304,0.055173221,1165.643594,213.3,93.3,
12,10.50618204,Si1,1.055547156,Si1,2.549243282,1.238344895,0,351.3714815,284.9724693,0.002281541,0.055381991,954.25205,193.4,81.9,
13,10.4234577,Si1,1.189513712,Si1,1.853287317,0.551771248,1,344.4608266,569.1711704,0.005280167,0.03595542,944.5481418,171.000001,82,
14,12.03263349,Si1,0.993864099,Si1,2.429992263,0.668172287,0,372.2522275,280.826679,0.001458329,0.055166588,1066.157842,197.9,87,
15,15.9857585,Si1,1.203872808,Si1,1.193499477,2.47515984,0,434.7637791,276.9403966,-0.000390494,0.05508458,1330.59688,234.2,97,
16,13.99466797,Si1,1.154759959,PU,1.644252038,2.038116494,1,409.9947431,545.9784253,0.028960924,0.033049525,1265.885888,212.000001,95.4,
17,11.96451925,Si1,0.977477138,PU,2.877955673,1.662897407,0,382.6934564,283.2278577,0.000289963,0.055296483,1089.018866,205.2,85.8,
18,9.968981313,Si1,1.213228216,PU,2.082808829,2.492800012,1,354.0420311,971.0765389,0.001200373,0.037691697,937.4743389,172.000001,80.2,
19,9.821372038,Si1,1.172347049,Si1,2.135138829,0.582221447,1,336.459166,578.4148775,0.000236384,0.037112327,904.7872848,165.000001,78.6,
20,9.658321629,Si1,1.3448167,PU,1.66062974,0.964675544,1,336.5611044,518.2426137,0.000232308,0.043906212,896.8577577,155.000001,80.2,
