discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,10,6,4,0.6,0.4,324.6352937,359.5157112,423.6383574
combo_002,Si1,Si1,13,8,5,0.6153846153846154,0.38461538461538464,262.5767887,339.77760573750004,430.7024571
combo_003,Si2,PU,10,2,8,0.2,0.8,330.6182631,348.7284564,366.8386497
combo_004,Si2,Si2,11,6,5,0.5454545454545454,0.45454545454545453,265.2624785,329.83352023333333,375.0443167
combo_005,Si3,PU,15,7,8,0.4666666666666667,0.5333333333333333,287.4763493,343.3315220571429,406.6630626
combo_006,Si3,Si3,14,6,8,0.42857142857142855,0.5714285714285714,327.0368826,358.7280355,375.086076
combo_007,A1,PU,14,6,8,0.42857142857142855,0.5714285714285714,266.0174615,349.37767505000005,403.7700186
combo_008,A1,Si1,12,6,6,0.5,0.5,263.5845894,351.9453760666666,422.1182428
combo_009,A1,Si2,17,10,7,0.5882352941176471,0.4117647058823529,295.0316891,350.67653645,409.972737
combo_010,A1,Si3,11,5,6,0.45454545454545453,0.5454545454545454,269.7775331,350.7194876,407.2906475
combo_011,A2,PU,13,6,7,0.46153846153846156,0.5384615384615384,311.420805,353.4587756333333,412.4210531
combo_012,A2,Si1,14,4,10,0.2857142857142857,0.7142857142857143,331.8618603,370.28620005,397.6102241
combo_013,A2,Si2,20,11,9,0.55,0.45,291.3035203,350.13473806363635,406.6595602
combo_014,A2,Si3,12,6,6,0.5,0.5,292.3628725,351.3353596666666,393.2390852
