discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,22,9,13,0.4090909090909091,0.5909090909090909,324.6352937,371.05546012222226,423.6383574
combo_002,Si1,Si1,18,10,8,0.5555555555555556,0.4444444444444444,262.5767887,347.49662567,430.7024571
combo_003,Si2,PU,23,12,11,0.5217391304347826,0.4782608695652174,308.7359367,366.9890668166666,426.528061
combo_004,Si2,Si2,19,10,9,0.5263157894736842,0.47368421052631576,265.2624785,336.45865453,395.9246842
combo_005,Si3,PU,22,12,10,0.5454545454545454,0.45454545454545453,287.4763493,360.2002643083333,427.3821429
combo_006,Si3,Si3,20,8,12,0.4,0.6,327.0368826,369.28885833749996,416.4156343
combo_007,A1,PU,23,9,14,0.391304347826087,0.6086956521739131,266.0174615,357.14939332222224,403.7700186
combo_008,A1,Si1,20,11,9,0.55,0.45,263.5845894,358.06587244545454,434.8895237
combo_009,A1,Si2,20,13,7,0.65,0.35,295.0316891,353.3788204,426.3039844
combo_010,A1,Si3,17,8,9,0.47058823529411764,0.5294117647058824,269.7775331,349.527697775,407.2906475
combo_011,A2,PU,19,10,9,0.5263157894736842,0.47368421052631576,311.420805,372.07827094000004,412.4210531
combo_012,A2,Si1,21,6,15,0.2857142857142857,0.7142857142857143,331.8618603,379.46809793333335,420.8322242
combo_013,A2,Si2,21,11,10,0.5238095238095238,0.47619047619047616,291.3035203,350.13473806363635,406.6595602
combo_014,A2,Si3,20,8,12,0.4,0.6,292.3628725,357.44251856249997,393.2390852
